spanish,english,pair_id,es_words,en_words
El cambio climático afecta a todos los países del mundo generalmente.,Climate change affects all countries in the world generally.,0,11,9
La educación es fundamental para el desarrollo sostenible.,Education is fundamental for sustainable development.,1,8,6
Los derechos humanos deben ser respetados universalmente continuamente.,Human rights must be universally respected continuously.,2,8,7
La cooperación internacional es esencial para la paz mundial continuamente.,International cooperation is essential for world peace continuously.,3,10,8
El acceso al agua potable es un derecho básico humano siempre.,Access to clean water is a basic human right always.,4,11,10
Los objetivos de desarrollo sostenible requieren acción coordinada global continuamente.,Sustainable development goals require coordinated global action continuously.,5,10,8
La tecnología moderna transforma rápidamente nuestras sociedades contemporáneas generalmente.,Modern technology rapidly transforms our contemporary societies generally.,6,9,8
Los sistemas económicos deben equilibrar crecimiento y sostenibilidad ambiental continuamente.,Economic systems must balance growth and environmental sustainability continuously.,7,10,9
Las políticas públicas efectivas mejoran la calidad de vida ciudadana normalmente.,Effective public policies improve citizens' quality of life normally.,8,11,9
La inversión en infraestructura impulsa el desarrollo económico nacional actualmente.,Infrastructure investment drives national economic development currently.,9,10,7
El cambio climático afecta a todos los países del mundo.,Climate change affects all countries in the world.,10,10,8
La educación es fundamental para el desarrollo sostenible siempre.,Education is fundamental for sustainable development always.,11,9,7
Los derechos humanos deben ser respetados universalmente siempre.,Human rights must be universally respected always.,12,8,7
La cooperación internacional es esencial para la paz mundial continuamente.,International cooperation is essential for world peace continuously.,13,10,8
El acceso al agua potable es un derecho básico humano normalmente.,Access to clean water is a basic human right normally.,14,11,10
Los objetivos de desarrollo sostenible requieren acción coordinada global generalmente.,Sustainable development goals require coordinated global action generally.,15,10,8
La tecnología moderna transforma rápidamente nuestras sociedades contemporáneas normalmente.,Modern technology rapidly transforms our contemporary societies normally.,16,9,8
Los sistemas económicos deben equilibrar crecimiento y sostenibilidad ambiental normalmente.,Economic systems must balance growth and environmental sustainability normally.,17,10,9
Las políticas públicas efectivas mejoran la calidad de vida ciudadana frecuentemente.,Effective public policies improve citizens' quality of life frequently.,18,11,9
La inversión en infraestructura impulsa el desarrollo económico nacional generalmente.,Infrastructure investment drives national economic development generally.,19,10,7
El cambio climático afecta a todos los países del mundo continuamente.,Climate change affects all countries in the world continuously.,20,11,9
La educación es fundamental para el desarrollo sostenible siempre.,Education is fundamental for sustainable development always.,21,9,7
Los derechos humanos deben ser respetados universalmente continuamente.,Human rights must be universally respected continuously.,22,8,7
La cooperación internacional es esencial para la paz mundial frecuentemente.,International cooperation is essential for world peace frequently.,23,10,8
El acceso al agua potable es un derecho básico humano.,Access to clean water is a basic human right.,24,10,9
Los objetivos de desarrollo sostenible requieren acción coordinada global continuamente.,Sustainable development goals require coordinated global action continuously.,25,10,8
La tecnología moderna transforma rápidamente nuestras sociedades contemporáneas normalmente.,Modern technology rapidly transforms our contemporary societies normally.,26,9,8
Los sistemas económicos deben equilibrar crecimiento y sostenibilidad ambiental siempre.,Economic systems must balance growth and environmental sustainability always.,27,10,9
Las políticas públicas efectivas mejoran la calidad de vida ciudadana.,Effective public policies improve citizens' quality of life.,28,10,8
La inversión en infraestructura impulsa el desarrollo económico nacional continuamente.,Infrastructure investment drives national economic development continuously.,29,10,7
El cambio climático afecta a todos los países del mundo frecuentemente.,Climate change affects all countries in the world frequently.,30,11,9
La educación es fundamental para el desarrollo sostenible.,Education is fundamental for sustainable development.,31,8,6
Los derechos humanos deben ser respetados universalmente.,Human rights must be universally respected.,32,7,6
La cooperación internacional es esencial para la paz mundial generalmente.,International cooperation is essential for world peace generally.,33,10,8
El acceso al agua potable es un derecho básico humano continuamente.,Access to clean water is a basic human right continuously.,34,11,10
Los objetivos de desarrollo sostenible requieren acción coordinada global siempre.,Sustainable development goals require coordinated global action always.,35,10,8
La tecnología moderna transforma rápidamente nuestras sociedades contemporáneas normalmente.,Modern technology rapidly transforms our contemporary societies normally.,36,9,8
Los sistemas económicos deben equilibrar crecimiento y sostenibilidad ambiental actualmente.,Economic systems must balance growth and environmental sustainability currently.,37,10,9
Las políticas públicas efectivas mejoran la calidad de vida ciudadana.,Effective public policies improve citizens' quality of life.,38,10,8
La inversión en infraestructura impulsa el desarrollo económico nacional.,Infrastructure investment drives national economic development.,39,9,6
El cambio climático afecta a todos los países del mundo continuamente.,Climate change affects all countries in the world continuously.,40,11,9
La educación es fundamental para el desarrollo sostenible continuamente.,Education is fundamental for sustainable development continuously.,41,9,7
Los derechos humanos deben ser respetados universalmente generalmente.,Human rights must be universally respected generally.,42,8,7
La cooperación internacional es esencial para la paz mundial actualmente.,International cooperation is essential for world peace currently.,43,10,8
El acceso al agua potable es un derecho básico humano frecuentemente.,Access to clean water is a basic human right frequently.,44,11,10
Los objetivos de desarrollo sostenible requieren acción coordinada global actualmente.,Sustainable development goals require coordinated global action currently.,45,10,8
La tecnología moderna transforma rápidamente nuestras sociedades contemporáneas continuamente.,Modern technology rapidly transforms our contemporary societies continuously.,46,9,8
Los sistemas económicos deben equilibrar crecimiento y sostenibilidad ambiental continuamente.,Economic systems must balance growth and environmental sustainability continuously.,47,10,9
Las políticas públicas efectivas mejoran la calidad de vida ciudadana normalmente.,Effective public policies improve citizens' quality of life normally.,48,11,9
La inversión en infraestructura impulsa el desarrollo económico nacional siempre.,Infrastructure investment drives national economic development always.,49,10,7
El cambio climático afecta a todos los países del mundo siempre.,Climate change affects all countries in the world always.,50,11,9
La educación es fundamental para el desarrollo sostenible actualmente.,Education is fundamental for sustainable development currently.,51,9,7
Los derechos humanos deben ser respetados universalmente normalmente.,Human rights must be universally respected normally.,52,8,7
La cooperación internacional es esencial para la paz mundial actualmente.,International cooperation is essential for world peace currently.,53,10,8
El acceso al agua potable es un derecho básico humano continuamente.,Access to clean water is a basic human right continuously.,54,11,10
Los objetivos de desarrollo sostenible requieren acción coordinada global actualmente.,Sustainable development goals require coordinated global action currently.,55,10,8
